id,name,code,user_type_id/id,chart_template_id/id,group_id/id,reconcile
account_common_499,Provisions per operacions comercials,499,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_499,True
account_common_500,Obligacions i bons a curt termini,500,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_500,False
account_common_505,Deutes representats en altres valors negociables a curt termini,505,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_505,False
account_common_506,Interessos a curt termini d’emprèstits i altres emissions anàlogues,506,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_506,False
account_common_510,Deutes a curt termini amb entitats de crèdit vinculades,510,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_510,False
account_common_511,"Proveïdors d’immobilitzat a curt termini, parts vinculades",511,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_511,False
account_common_512,"Creditors per arrendament financer a curt termini, parts vinculades",512,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_512,False
account_common_513,Altres deutes a curt termini amb parts vinculades,513,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_513,False
account_common_514,Interessos a curt termini de deutes amb parts vinculades,514,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_514,False
account_common_520,Deutes a curt termini amb entitats de crèdit,520,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_520,True
account_common_523,Proveïdors d’immobilitzat a curt termini,523,account.data_account_type_payable,l10n_ad.account_chart_template_common,l10n_ad.account_group_523,True
account_common_524,Creditors per arrendament financer a curt termini,524,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_524,False
account_common_526,Dividend actiu a pagar,526,account.data_account_type_payable,l10n_ad.account_chart_template_common,l10n_ad.account_group_526,True
account_common_527,Interessos a curt termini de deutes amb entitats de crèdit,527,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_527,False
account_common_528,Altres deutes a curt termini,528,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_528,False
account_common_529,Provisions a curt termini,529,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_529,True
account_common_530,Participacions a curt termini en parts vinculades,530,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_530,False
account_common_531,Crèdits i valors representatius de deute a curt termini de parts vinculades,531,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_531,False
account_common_533,Interessos a curt termini de crèdits i valors representatius de deute de parts vinculades,533,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_533,False
account_common_535,Dividend a cobrar d’inversions financeres en parts vinculades,535,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_535,False
account_common_540,Inversions financeres a curt termini en instruments de patrimoni,540,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_540,False
account_common_541,Crèdits i valors representatius de deute a curt termini,541,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_541,False
account_common_543,Crèdits a curt termini per alienació d’immobilitzat,543,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_543,False
account_common_544,Crèdits a curt termini al personal,544,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_544,False
account_common_545,Dividend a cobrar,545,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_545,False
account_common_546,Interessos a curt termini de crèdits i valors representatius de deutes,546,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_546,False
account_common_548,Imposicions a curt termini,548,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_548,False
account_common_550,Titular de l’explotació,550,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_550,False
account_common_552,Compte corrent amb altres persones i entitats vinculades,552,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_552,False
account_common_554,Compte corrent amb unions temporals d’empreses i comunitats de béns,554,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_554,False
account_common_555,Partides pendents d’aplicació,555,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_555,False
account_common_556,Desemborsaments exigits sobre participacions en el patrimoni net,556,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_556,False
account_common_557,Dividend actiu a compte,557,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_557,False
account_common_560,Fiances rebudes a curt termini,560,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_560,False
account_common_561,Dipòsits rebuts a curt termini,561,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_561,False
account_common_565,Fiances constituïdes a curt termini,565,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_565,False
account_common_566,Dipòsits constituïts a curt termini,566,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_566,False
account_common_567,Interessos pagats per anticipat,567,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_567,False
account_common_568,Interessos cobrats per anticipat,568,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_568,False
account_common_570,"Caixa, euros",570,account.data_account_type_liquidity,l10n_ad.account_chart_template_common,l10n_ad.account_group_570,False
account_common_571,"Caixa, moneda estrangera",571,account.data_account_type_liquidity,l10n_ad.account_chart_template_common,l10n_ad.account_group_571,False
pgc_572_child,"Bancs i institucions de crèdit c/c vista, euros",572,account.data_account_type_liquidity,l10n_ad.account_chart_template_common,l10n_ad.account_group_572,False
account_common_573,"Bancs i institucions de crèdit c/c vista, moneda estrangera",573,account.data_account_type_liquidity,l10n_ad.account_chart_template_common,l10n_ad.account_group_573,False
account_common_574,"Bancs i institucions de crèdit, comptes d’estalvi, euros",574,account.data_account_type_liquidity,l10n_ad.account_chart_template_common,l10n_ad.account_group_574,False
account_common_575,"Bancs i institucions de crèdit, comptes d’estalvi, moneda estrangera",575,account.data_account_type_liquidity,l10n_ad.account_chart_template_common,l10n_ad.account_group_575,False
account_common_576,Inversions a curt termini de gran liquiditat,576,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_576,False
account_common_593,Deteriorament de valor de participacions a curt termini en parts vinculades,593,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_593,False
account_common_594,Deteriorament de valor de valors representatius de deute a curt termini de parts vinculades,594,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_594,False
account_common_595,Deteriorament de valor de crèdits a curt termini en parts vinculades,595,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_595,False
account_common_597,Deteriorament de valor de valors representatius de deute a curt termini,597,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_597,False
account_common_598,Deteriorament de valor de crèdits a curt termini,598,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_598,False
account_common_600,Compres de mercaderies,600,account.data_account_type_expenses,l10n_ad.account_chart_template_common,l10n_ad.account_group_600,False
account_common_601,Compres de matèries primeres,601,account.data_account_type_expenses,l10n_ad.account_chart_template_common,l10n_ad.account_group_601,False
account_common_602,Compres d’altres aprovisionaments,602,account.data_account_type_expenses,l10n_ad.account_chart_template_common,l10n_ad.account_group_602,False
account_common_606,Descomptes sobre compres per pagament immediat,606,account.data_account_type_expenses,l10n_ad.account_chart_template_common,l10n_ad.account_group_606,False
account_common_607,Treballs realitzats per altres empreses,607,account.data_account_type_expenses,l10n_ad.account_chart_template_common,l10n_ad.account_group_607,False
account_common_608,Devolucions de compres i operacions similars,608,account.data_account_type_expenses,l10n_ad.account_chart_template_common,l10n_ad.account_group_608,False
account_common_609,Ràpels per compres,609,account.data_account_type_expenses,l10n_ad.account_chart_template_common,l10n_ad.account_group_609,False
